service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,0,20260901,20261130
2,0,0,0,0,0,0,0,20260901,20261130
3,0,0,0,0,0,0,0,20260904,20261127
4,0,0,0,0,0,0,0,20261017,20261128
5,0,0,0,0,0,0,0,20260905,20261010
6,0,0,0,0,0,0,0,20260905,20261128
7,0,0,0,0,0,0,0,20260906,20261129
8,0,0,0,0,0,0,0,20261031,20261031
9,0,0,0,0,0,0,0,20260901,20261009
10,0,0,0,0,0,0,0,20261012,20261130
11,0,0,0,0,0,0,0,20260904,20261009
12,0,0,0,0,0,0,0,20260901,20261130
13,0,0,0,0,0,0,0,20260901,20261127
14,0,0,0,0,0,0,0,20261026,20261030
15,0,0,0,0,0,0,0,20260901,20261126
16,0,0,0,0,0,0,0,20261012,20261130
17,0,0,0,0,0,0,0,20261030,20261030
18,0,0,0,0,0,0,0,20260904,20261127
19,0,0,0,0,0,0,0,20260907,20261005
20,0,0,0,0,0,0,0,20261016,20261127
21,0,0,0,0,0,0,0,20261012,20261130
22,0,0,0,0,0,0,0,20261026,20261029
23,0,0,0,0,0,0,0,20261013,20261126
24,0,0,0,0,0,0,0,20260906,20261011
25,0,0,0,0,0,0,0,20261018,20261129
26,0,0,0,0,0,0,0,20261016,20261127
27,0,0,0,0,0,0,0,20260907,20261130
28,0,0,0,0,0,0,0,20260901,20261130
29,0,0,0,0,0,0,0,20260901,20261008
30,0,0,0,0,0,0,0,20260901,20261130
31,0,0,0,0,0,0,0,20261012,20261130
32,0,0,0,0,0,0,0,20260904,20261130
33,0,0,0,0,0,0,0,20260901,20261008
34,0,0,0,0,0,0,0,20260907,20261130
35,0,0,0,0,0,0,0,20261016,20261127
36,0,0,0,0,0,0,0,20261014,20261125
37,0,0,0,0,0,0,0,20261012,20261130
38,0,0,0,0,0,0,0,20260902,20261125
39,0,0,0,0,0,0,0,20260902,20261007
40,0,0,0,0,0,0,0,20260901,20261009
41,0,0,0,0,0,0,0,20260901,20261130
42,0,0,0,0,0,0,0,20260902,20261127
43,0,0,0,0,0,0,0,20261028,20261030
44,0,0,0,0,0,0,0,20260901,20261130
45,0,0,0,0,0,0,0,20261026,20261029
46,0,0,0,0,0,0,0,20261102,20261130
47,0,0,0,0,0,0,0,20261106,20261127
48,0,0,0,0,0,0,0,20260904,20261030
49,0,0,0,0,0,0,0,20260901,20261029
50,0,0,0,0,0,0,0,20260906,20261129
51,0,0,0,0,0,0,0,20260901,20261126
52,0,0,0,0,0,0,0,20260907,20261130
53,0,0,0,0,0,0,0,20261102,20261130
54,0,0,0,0,0,0,0,20261107,20261128
55,0,0,0,0,0,0,0,20260905,20261024
56,0,0,0,0,0,0,0,20260904,20261130
57,0,0,0,0,0,0,0,20260901,20261030
58,0,0,0,0,0,0,0,20260901,20261127
59,0,0,0,0,0,0,0,20260903,20261130
60,0,0,0,0,0,0,0,20260901,20261124
61,0,0,0,0,0,0,0,20260901,20261023
62,0,0,0,0,0,0,0,20260906,20261031
63,0,0,0,0,0,0,0,20260903,20260907
64,0,0,0,0,0,0,0,20260901,20261130
65,0,0,0,0,0,0,0,20260905,20260905
66,0,0,0,0,0,0,0,20260912,20261128
67,0,0,0,0,0,0,0,20260906,20261129
68,0,0,0,0,0,0,0,20260920,20260920
69,0,0,0,0,0,0,0,20260918,20260918
70,0,0,0,0,0,0,0,20260901,20261009
71,0,0,0,0,0,0,0,20261012,20261130
72,0,0,0,0,0,0,0,20260901,20261130
73,0,0,0,0,0,0,0,20260901,20261130
74,0,0,0,0,0,0,0,20260903,20261126
75,0,0,0,0,0,0,0,20260901,20260930
76,0,0,0,0,0,0,0,20260905,20260926
77,0,0,0,0,0,0,0,20260903,20260924
78,0,0,0,0,0,0,0,20260904,20260925
79,0,0,0,0,0,0,0,20260906,20260927
80,0,0,0,0,0,0,0,20260901,20260911
81,0,0,0,0,0,0,0,20260905,20260912
82,0,0,0,0,0,0,0,20260906,20260913
83,0,0,0,0,0,0,0,20260903,20260925
84,0,0,0,0,0,0,0,20260901,20260904
85,0,0,0,0,0,0,0,20260906,20260906
86,0,0,0,0,0,0,0,20260911,20261016
87,0,0,0,0,0,0,0,20260913,20261018
88,0,0,0,0,0,0,0,20260904,20260904
89,0,0,0,0,0,0,0,20261003,20261128
90,0,0,0,0,0,0,0,20261004,20261129
91,0,0,0,0,0,0,0,20260902,20261126
92,0,0,0,0,0,0,0,20260919,20260919
